/home/xchen/GANs/ACGAN-PyTorch/samples/1108_mnist_katayama

[(8700, 26.194255311047982),
 (9600, 26.295846397942),
 (9400, 26.344971783900974),
 (9800, 26.674112676983498),
 (9100, 26.88601557591636),
 (8000, 27.064874820716852),
 (9300, 27.171712875159216),
 (7900, 27.215988856976878),
 (9700, 27.322794109451422),
 (9900, 27.35581855665015),
 (8900, 27.41948154456111),
 (7200, 27.589624080554927),
 (8300, 27.668156031725488),
 (8600, 27.836942144866327),
 (7300, 27.847062799155736),
 (6500, 27.90714014497729),
 (9000, 28.037647888726298),
 (6000, 28.065436393291606),
 (7000, 28.137971661350093),
 (6400, 28.176911346355467),
 (7400, 28.20060931780867),
 (7100, 28.249815340716737),
 (8800, 28.30902322213501),
 (5900, 28.31329247347651),
 (7800, 28.551091525889092),
 (4900, 28.559124757161158),
 (6900, 28.694426760744165),
 (7700, 28.7012428843789),
 (7600, 28.719826483732845),
 (6200, 28.927996100595777),
 (8100, 28.988311605940964),
 (7500, 29.055010685998326),
 (6600, 29.082759883729068),
 (9200, 29.165705127259002),
 (6300, 29.24731099093964),
 (5400, 29.261489421933447),
 (8200, 29.370958606645672),
 (4700, 29.450534164223882),
 (6800, 29.509244774600973),
 (6100, 29.617332704557782),
 (6700, 29.736608117699433),
 (5800, 29.77428488234682),
 (5600, 29.822148866445872),
 (5100, 29.936246538639693),
 (9500, 29.967511231798966),
 (8500, 30.262565955323595),
 (5700, 30.379244691966278),
 (5200, 30.622685286280216),
 (4400, 30.830081899835278),
 (3900, 31.155814270161585),
 (8400, 31.31290566115419),
 (4300, 32.020373799957184),
 (4800, 32.0684595012753),
 (5000, 32.229518804429574),
 (3700, 32.23747119748157),
 (4100, 32.2412145751602),
 (5500, 32.410108877768835),
 (4600, 32.45929471875206),
 (3300, 32.77324706113245),
 (5300, 32.91441652027086),
 (4500, 33.59108212770249),
 (3500, 33.65883651035469),
 (4000, 34.094470586571816),
 (4200, 34.50085815746047),
 (3200, 34.81841502388383),
 (3400, 35.641072887476895),
 (2900, 36.04066409270362),
 (2600, 36.06661206176176),
 (3600, 36.70918126399647),
 (3100, 37.05149013333428),
 (3800, 37.38139937881701),
 (3000, 37.71766068604299),
 (2400, 37.800117002670106),
 (2200, 37.94023745158884),
 (2700, 39.020397673100575),
 (2800, 39.18488189257533),
 (2100, 39.926161171391584),
 (2000, 40.35692407273959),
 (1900, 41.32359696191676),
 (2500, 41.97644452912536),
 (1800, 43.00791160347367),
 (2300, 43.54128643193397),
 (1600, 46.7526282685003),
 (1700, 46.77525425654244),
 (1500, 48.90758596133938),
 (1400, 51.57775908031584),
 (1200, 51.79889280169965),
 (1300, 55.583347630056466),
 (900, 57.58351470877096),
 (1100, 68.07087853880142),
 (1000, 68.54947355834835),
 (700, 72.71004134637738),
 (800, 81.96550375168334),
 (600, 92.71895383162826),
 (500, 99.45298724595358),
 (400, 131.30645605458167),
 (300, 173.503611022352),
 (200, 221.1944816365844),
 (100, 286.0170642060684),
 (0, 368.4509240962958)]
