/home/xchen/GANs/ACGAN-PyTorch/samples/1102_cifar10_katayama

[(7800, 85.8013901627794),
 (7200, 85.97488143690543),
 (6600, 87.12948288994102),
 (7900, 87.21567779074962),
 (6100, 87.32419783817403),
 (7300, 87.33099127636251),
 (5400, 87.86901593265424),
 (7700, 87.8830965776022),
 (7000, 87.99818728829393),
 (5800, 88.46574634244473),
 (6900, 88.53256817684496),
 (8900, 88.54546363199813),
 (7100, 88.68505687152941),
 (7600, 88.84368070487358),
 (6400, 88.87563245806115),
 (5900, 89.06977143773838),
 (9100, 89.40767257195972),
 (9900, 89.44418855065288),
 (5000, 89.45009432204853),
 (8700, 89.51342154839125),
 (6700, 89.53672940025513),
 (5100, 89.54004084256127),
 (7400, 89.58548068210246),
 (5600, 89.59153121566783),
 (8000, 89.68581994782306),
 (4800, 89.70128621553357),
 (5200, 89.75905308145701),
 (6000, 89.88528256180382),
 (9300, 89.95374374322557),
 (9200, 90.06600273649639),
 (6200, 90.10399336884541),
 (8800, 90.14888575893065),
 (5500, 90.16377133634222),
 (4600, 90.21677576702825),
 (4900, 90.25124004903319),
 (8100, 90.39953319994333),
 (9600, 90.40761570463815),
 (6300, 90.41594806299372),
 (9400, 90.4289961617178),
 (8200, 90.43260397114676),
 (8500, 90.56140396698208),
 (4700, 90.62670892488421),
 (9000, 90.92816587879906),
 (4400, 91.02861804913141),
 (8300, 91.04577251507135),
 (4000, 91.25093441212005),
 (4200, 91.27405336807499),
 (5300, 91.36899219889295),
 (9700, 91.51219749024358),
 (8400, 91.53686820876516),
 (3900, 91.63488573632117),
 (6800, 91.74711208373816),
 (4100, 91.85403468433043),
 (3800, 92.07980341019794),
 (5700, 92.09572920094371),
 (4300, 92.15344985710806),
 (3000, 92.22037848242576),
 (9500, 92.23146536718332),
 (8600, 92.23962499454575),
 (7500, 92.61440061575468),
 (4500, 92.72159842816018),
 (3200, 92.99033612044724),
 (3700, 92.99726382400547),
 (3500, 93.09391042651316),
 (9800, 93.15337201512824),
 (6500, 93.4052511673442),
 (3100, 94.04693592460615),
 (3600, 94.14468034619904),
 (3300, 94.44334663229859),
 (3400, 95.32510278288493),
 (2800, 96.5785176779209),
 (2700, 96.93229173155078),
 (2900, 97.16940233610728),
 (1800, 97.23792044351029),
 (2500, 99.7841766431805),
 (2600, 100.02450946019314),
 (2400, 100.34763034693668),
 (2300, 101.34498730022489),
 (1700, 101.81531094280422),
 (2100, 102.1572699584571),
 (2200, 102.58272873126958),
 (1900, 102.80637541474255),
 (2000, 103.35815526798143),
 (1600, 106.17453908895999),
 (1500, 108.1958893517882),
 (1400, 109.05032672201799),
 (1300, 110.27976264421369),
 (1200, 119.11451547464469),
 (1000, 120.01892485400526),
 (1100, 122.2815246100646),
 (900, 125.36414626316383),
 (800, 140.79890488039422),
 (700, 154.30788874329897),
 (600, 170.10750977569646),
 (500, 182.67829107729958),
 (400, 220.2120692116435),
 (300, 238.16210549153055),
 (200, 264.37779642033536),
 (100, 287.9942639168279),
 (0, 429.81757863048034)]
